S.No,Scores,Grades,Pattern,Learning Speed,Subjects,Revision Habits,Final Marks
1,85,D,Declining,Average,English,Y,96
2,94,D,Consistent,Average,Science,N,110
3,37,A,Declining,Average,Geography,Y,36
4,41,B,Improving,Average,History,N,41
5,65,C,Consistent,Average,Math,N,62
6,93,D,Improving,Slow,English,Y,109
7,78,C,Improving,Slow,English,Y,71
8,75,C,Consistent,Average,History,Y,89
9,78,C,Consistent,Average,Geography,Y,81
10,55,B,Declining,Average,History,Y,48
11,80,D,Improving,Slow,Math,Y,89
12,40,B,Declining,Fast,History,Y,39
13,86,D,Declining,Average,History,N,85
14,75,C,Improving,Average,Geography,Y,84
15,80,D,Improving,Slow,Science,Y,69
16,58,B,Declining,Average,Science,N,53
17,89,D,Improving,Slow,Geography,Y,92
18,66,C,Declining,Fast,Geography,Y,69
19,65,C,Consistent,Average,History,Y,72
20,95,D,Improving,Slow,English,Y,85
21,60,C,Consistent,Average,Geography,Y,59
22,85,D,Declining,Slow,Science,N,84
23,55,B,Consistent,Slow,English,N,50
24,81,D,Declining,Average,Math,Y,79
25,73,C,Consistent,Slow,Geography,Y,81
26,42,B,Improving,Average,History,Y,48
27,96,D,Improving,Slow,English,N,87
28,82,D,Consistent,Slow,Science,N,85
29,89,D,Declining,Average,Geography,Y,90
30,46,B,Declining,Fast,English,N,54
31,84,D,Consistent,Slow,Geography,N,76
32,35,A,Improving,Average,Geography,Y,32
33,57,B,Improving,Slow,Math,Y,58
34,95,D,Declining,Slow,Math,N,90
35,66,C,Declining,Slow,Science,Y,65
36,46,B,Improving,Fast,History,Y,48
37,88,D,Improving,Average,Geography,Y,101
38,100,F,Declining,Slow,Geography,N,96
39,71,C,Consistent,Slow,Math,Y,70
40,99,D,Consistent,Average,English,N,98
41,71,C,Declining,Average,Geography,Y,84
42,87,D,Consistent,Fast,History,N,89
43,42,B,Declining,Fast,History,N,35
44,48,B,Improving,Average,English,N,50
45,57,B,Consistent,Average,Geography,Y,50
46,60,C,Improving,Average,Geography,Y,51
47,41,B,Consistent,Fast,History,N,45
48,51,B,Improving,Fast,English,Y,44
49,87,D,Improving,Average,English,N,70
50,57,B,Consistent,Fast,Math,Y,55
51,59,B,Declining,Slow,Math,N,55
52,46,B,Improving,Slow,Science,N,53
53,71,C,Improving,Fast,History,N,60
54,56,B,Improving,Average,English,N,64
55,37,A,Improving,Average,Science,Y,36
56,52,B,Consistent,Average,Science,N,48
57,40,B,Declining,Slow,Science,N,47
58,64,C,Improving,Slow,Math,Y,68
59,37,A,Consistent,Fast,Science,Y,33
60,64,C,Improving,Average,Geography,N,71
61,93,D,Consistent,Fast,Math,Y,78
62,63,C,Consistent,Fast,Science,Y,60
63,32,A,Improving,Fast,Science,N,26
64,92,D,Improving,Fast,History,Y,85
65,65,C,Consistent,Average,Math,Y,65
66,49,B,Consistent,Fast,Math,Y,48
67,88,D,Consistent,Slow,History,Y,89
68,68,C,Declining,Slow,Geography,Y,62
69,42,B,Declining,Fast,English,N,34
70,41,B,Improving,Fast,History,N,34
71,66,C,Declining,Fast,Geography,Y,73
72,91,D,Improving,Average,Geography,N,79
73,44,B,Consistent,Fast,Math,N,52
74,40,B,Consistent,Slow,English,N,40
75,99,D,Consistent,Fast,Science,Y,83
76,73,C,Declining,Fast,English,Y,66
77,87,D,Consistent,Slow,Geography,N,79
78,74,C,Consistent,Fast,Geography,Y,68
79,100,F,Consistent,Fast,History,Y,101
80,83,D,Declining,Average,English,N,82
81,61,C,Consistent,Fast,Math,N,51
82,93,D,Declining,Fast,History,Y,93
83,76,C,Consistent,Average,Science,Y,66
84,62,C,Improving,Slow,Geography,Y,64
85,49,B,Declining,Slow,History,Y,49
86,58,B,Consistent,Slow,Science,N,68
87,98,D,Improving,Average,Geography,N,92
88,38,A,Declining,Average,Geography,Y,34
89,36,A,Declining,Slow,Geography,Y,43
90,83,D,Consistent,Slow,Geography,N,83
91,62,C,Improving,Slow,Math,Y,51
92,81,D,Improving,Fast,Geography,Y,84
93,93,D,Declining,Average,Geography,N,87
94,31,A,Consistent,Fast,Math,Y,25
95,90,D,Declining,Average,Math,N,74
96,93,D,Improving,Average,History,Y,94
97,76,C,Declining,Average,History,Y,75
98,81,D,Declining,Average,History,N,96
99,42,B,Improving,Slow,Science,Y,44
100,61,C,Improving,Fast,Science,N,71
101,76,C,Improving,Average,Math,N,64
102,67,C,Improving,Slow,History,N,75
103,48,B,Declining,Average,Geography,N,42
104,52,B,Declining,Slow,English,Y,52
105,70,C,Declining,Fast,Geography,N,60
106,45,B,Consistent,Slow,English,Y,47
107,59,B,Declining,Slow,Geography,Y,59
108,87,D,Consistent,Average,Science,Y,76
109,76,C,Improving,Average,Geography,Y,82
110,53,B,Consistent,Slow,Math,Y,50
111,43,B,Declining,Slow,History,Y,49
112,70,C,Consistent,Slow,Geography,N,73
113,39,A,Improving,Average,History,Y,33
114,69,C,Declining,Fast,Math,N,64
115,89,D,Declining,Fast,Science,N,77
116,76,C,Declining,Slow,Geography,Y,73
117,96,D,Improving,Slow,Science,N,104
118,45,B,Declining,Average,English,N,42
119,79,C,Improving,Fast,English,Y,64
120,96,D,Declining,Average,Math,N,104
121,35,A,Improving,Average,Science,Y,40
122,90,D,Consistent,Fast,Science,N,74
123,67,C,Consistent,Slow,Science,N,67
124,88,D,Consistent,Slow,Math,Y,79
125,87,D,Declining,Slow,English,Y,91
126,40,B,Consistent,Slow,Geography,Y,37
127,81,D,Improving,Average,English,Y,67
128,71,C,Improving,Average,History,N,66
129,87,D,Consistent,Average,English,N,86
130,72,C,Improving,Slow,Science,Y,63
131,91,D,Consistent,Slow,English,Y,102
132,38,A,Consistent,Fast,Science,N,31
133,72,C,Consistent,Fast,History,Y,70
134,60,C,Declining,Average,Math,N,59
135,71,C,Consistent,Average,Math,Y,61
136,44,B,Consistent,Slow,Science,Y,51
137,79,C,Consistent,Fast,Math,N,65
138,90,D,Declining,Average,History,N,74
139,40,B,Improving,Fast,Geography,N,39
140,47,B,Consistent,Slow,English,Y,53
141,34,A,Declining,Average,Math,N,34
142,69,C,Declining,Slow,Geography,N,69
143,99,D,Declining,Slow,English,N,93
144,39,A,Consistent,Average,Science,Y,35
145,69,C,Improving,Fast,History,Y,81
146,37,A,Declining,Average,Geography,Y,44
147,41,B,Improving,Average,Math,Y,34
148,33,A,Consistent,Fast,English,N,31
149,52,B,Consistent,Slow,Geography,Y,45
150,78,C,Consistent,Average,English,Y,79
151,92,D,Declining,Fast,Science,Y,90
152,77,C,Declining,Fast,English,N,80
153,34,A,Declining,Slow,Science,N,39
154,70,C,Declining,Slow,English,N,81
155,94,D,Consistent,Average,English,Y,104
156,80,D,Consistent,Slow,History,N,70
157,35,A,Declining,Slow,Math,N,35
158,44,B,Consistent,Average,Geography,Y,48
159,78,C,Consistent,Fast,English,Y,73
160,51,B,Improving,Fast,English,N,42
161,92,D,Declining,Average,Geography,N,77
162,35,A,Improving,Average,Science,N,32
163,82,D,Consistent,Fast,Science,N,93
164,58,B,Improving,Fast,Geography,Y,49
165,38,A,Consistent,Slow,Geography,N,37
166,41,B,Declining,Average,English,N,37
167,42,B,Consistent,Fast,History,N,36
168,30,A,Consistent,Fast,Math,N,26
169,71,C,Declining,Fast,History,Y,60
170,65,C,Consistent,Slow,Math,Y,56
171,52,B,Consistent,Fast,Science,Y,51
172,42,B,Consistent,Average,Geography,Y,35
173,52,B,Improving,Slow,History,Y,51
174,51,B,Consistent,Fast,Math,Y,50
175,64,C,Consistent,Slow,Math,Y,55
176,99,D,Improving,Slow,Geography,N,104
177,100,F,Improving,Fast,English,Y,112
178,44,B,Improving,Fast,Math,N,48
179,81,D,Declining,Slow,Geography,Y,78
180,47,B,Consistent,Average,Math,N,56
181,96,D,Consistent,Average,Geography,Y,102
182,44,B,Improving,Slow,Geography,N,46
183,72,C,Declining,Slow,History,N,74
184,31,A,Declining,Average,Math,N,29
185,62,C,Declining,Slow,Geography,N,59
186,87,D,Declining,Average,Geography,Y,103
187,70,C,Consistent,Slow,Math,Y,59
188,45,B,Declining,Average,Math,Y,42
189,43,B,Declining,Fast,History,N,43
190,67,C,Declining,Slow,English,Y,70
191,92,D,Declining,Fast,Science,Y,106
192,48,B,Declining,Slow,Geography,N,53
193,87,D,Improving,Average,Science,Y,78
194,36,A,Consistent,Fast,Math,N,31
195,52,B,Declining,Slow,Science,N,59
196,48,B,Consistent,Fast,History,N,42
197,39,A,Consistent,Slow,History,N,38
198,91,D,Improving,Average,English,N,95
199,44,B,Declining,Average,Science,Y,42
200,49,B,Declining,Average,Math,N,40
201,95,D,Consistent,Average,History,Y,85
202,72,C,Improving,Fast,English,Y,63
203,99,D,Improving,Fast,English,Y,115
204,35,A,Consistent,Average,Math,Y,35
205,39,A,Declining,Fast,History,N,47
206,69,C,Consistent,Fast,History,N,74
207,57,B,Consistent,Average,Science,Y,46
208,92,D,Improving,Fast,Math,Y,107
209,71,C,Improving,Fast,English,Y,79
210,40,B,Declining,Slow,Math,N,36
211,93,D,Improving,Slow,English,N,87
212,33,A,Improving,Slow,Science,N,39
213,70,C,Consistent,Slow,Math,Y,62
214,39,A,Declining,Slow,Geography,N,43
215,65,C,Consistent,Average,Math,N,69
216,40,B,Improving,Average,Science,Y,44
217,44,B,Improving,Average,English,Y,35
218,34,A,Declining,Average,Science,Y,36
219,57,B,Consistent,Slow,Geography,Y,66
220,87,D,Consistent,Fast,Math,N,84
221,69,C,Declining,Average,Math,N,56
222,58,B,Consistent,Fast,English,Y,68
223,87,D,Consistent,Slow,Science,Y,96
224,41,B,Improving,Average,Geography,Y,36
225,89,D,Consistent,Slow,History,Y,85
226,92,D,Consistent,Slow,Math,Y,107
227,44,B,Improving,Fast,Science,N,50
228,75,C,Consistent,Fast,Science,Y,80
229,71,C,Improving,Average,History,Y,67
230,74,C,Declining,Slow,Science,N,66
231,91,D,Improving,Fast,Science,Y,93
232,44,B,Declining,Fast,Geography,N,36
233,39,A,Consistent,Average,Geography,Y,43
234,61,C,Consistent,Slow,History,N,68
235,42,B,Consistent,Fast,Science,Y,40
236,38,A,Declining,Slow,English,Y,45
237,68,C,Declining,Fast,English,N,62
238,74,C,Improving,Fast,English,N,70
239,52,B,Declining,Average,Science,Y,61
240,91,D,Declining,Average,History,Y,97
241,35,A,Declining,Average,History,Y,33
242,58,B,Declining,Average,Geography,N,53
243,55,B,Consistent,Slow,Geography,N,51
244,30,A,Improving,Fast,Geography,N,30
245,36,A,Consistent,Fast,Math,Y,31
246,35,A,Declining,Fast,English,Y,31
247,81,D,Improving,Average,English,N,70
248,67,C,Declining,Slow,Geography,Y,67
249,52,B,Consistent,Fast,Science,N,60
250,72,C,Improving,Average,English,N,76
251,90,D,Consistent,Slow,English,N,100
252,42,B,Consistent,Fast,Science,N,40
253,66,C,Improving,Fast,Math,N,60
254,92,D,Consistent,Average,Math,N,106
255,95,D,Consistent,Slow,History,Y,76
256,57,B,Improving,Fast,Science,Y,59
257,69,C,Consistent,Fast,Math,N,82
258,40,B,Declining,Fast,Science,Y,46
259,88,D,Improving,Average,History,N,78
260,83,D,Consistent,Fast,Math,Y,78
261,68,C,Consistent,Average,Math,Y,73
262,89,D,Declining,Average,History,Y,97
263,92,D,Consistent,Fast,English,N,82
264,58,B,Improving,Fast,Math,N,69
265,56,B,Declining,Average,Math,N,58
266,93,D,Declining,Average,History,N,108
267,34,A,Consistent,Average,English,N,33
268,33,A,Consistent,Fast,Science,Y,35
269,42,B,Consistent,Fast,Science,N,37
270,47,B,Improving,Slow,Science,Y,40
271,78,C,Declining,Fast,English,N,64
272,97,D,Improving,Slow,Science,N,91
273,69,C,Consistent,Fast,Science,Y,57
274,35,A,Improving,Slow,English,Y,42
275,56,B,Improving,Fast,English,Y,46
276,62,C,Declining,Fast,History,N,59
277,47,B,Improving,Fast,Geography,N,45
278,56,B,Improving,Average,English,Y,50
279,51,B,Improving,Average,History,N,56
280,37,A,Improving,Slow,History,Y,31
281,46,B,Consistent,Average,Math,Y,52
282,45,B,Declining,Fast,Math,Y,45
283,56,B,Improving,Average,English,N,60
284,46,B,Improving,Fast,Geography,N,41
285,84,D,Improving,Slow,Geography,N,75
286,90,D,Consistent,Slow,Science,Y,93
287,86,D,Consistent,Slow,Geography,N,73
288,81,D,Consistent,Fast,Science,N,79
289,69,C,Declining,Slow,Math,N,63
290,70,C,Consistent,Slow,English,N,79
291,97,D,Declining,Slow,Geography,Y,90
292,59,B,Improving,Average,History,N,61
293,37,A,Consistent,Slow,Math,Y,44
294,73,C,Consistent,Fast,English,N,64
295,54,B,Consistent,Fast,Science,Y,47
296,78,C,Declining,Average,Math,N,87
297,70,C,Improving,Fast,Science,N,83
298,50,B,Declining,Slow,Science,Y,58
299,43,B,Consistent,Slow,Geography,N,42
300,63,C,Consistent,Fast,Math,Y,70
301,76,C,Improving,Average,Science,Y,81
302,81,D,Consistent,Fast,Math,Y,85
303,60,C,Improving,Slow,Math,N,52
304,66,C,Consistent,Average,Geography,Y,58
305,46,B,Declining,Average,Math,Y,42
306,76,C,Consistent,Average,History,Y,80
307,51,B,Consistent,Fast,Science,N,50
308,36,A,Declining,Slow,Math,N,34
309,41,B,Consistent,Fast,Geography,N,39
310,80,D,Consistent,Average,English,N,84
311,33,A,Declining,Average,Geography,N,37
312,61,C,Improving,Average,History,Y,61
313,44,B,Improving,Average,Science,N,51
314,99,D,Consistent,Fast,History,N,85
315,69,C,Declining,Slow,History,Y,72
316,79,C,Declining,Fast,English,N,84
317,81,D,Improving,Fast,Math,Y,86
318,89,D,Improving,Fast,English,Y,83
319,72,C,Improving,Fast,Geography,N,76
320,31,A,Consistent,Average,Geography,N,37
321,53,B,Declining,Average,Geography,N,63
322,94,D,Consistent,Average,History,N,89
323,60,C,Consistent,Average,Science,Y,69
324,88,D,Consistent,Slow,Math,Y,102
325,63,C,Declining,Fast,Geography,Y,56
326,42,B,Declining,Average,Science,N,45
327,70,C,Declining,Slow,History,N,69
328,31,A,Consistent,Average,Science,Y,26
329,48,B,Consistent,Slow,History,N,47
330,73,C,Declining,Fast,Geography,Y,66
331,70,C,Declining,Fast,Geography,Y,57
332,73,C,Consistent,Average,Geography,N,64
333,69,C,Improving,Fast,Science,N,66
334,30,A,Declining,Fast,Geography,Y,34
335,64,C,Improving,Average,Science,N,56
336,33,A,Declining,Slow,English,Y,33
337,90,D,Declining,Fast,English,Y,88
338,63,C,Consistent,Slow,Science,N,74
339,54,B,Declining,Slow,English,N,58
340,93,D,Consistent,Fast,Geography,Y,98
341,81,D,Improving,Fast,History,N,83
342,84,D,Improving,Average,Math,Y,94
343,41,B,Consistent,Average,Science,N,36
344,79,C,Declining,Average,History,N,65
345,63,C,Improving,Fast,Math,Y,57
346,44,B,Improving,Fast,History,N,51
347,71,C,Declining,Average,Science,N,69
348,53,B,Consistent,Average,History,N,48
349,49,B,Consistent,Slow,History,N,51
350,93,D,Declining,Fast,Math,N,109
351,81,D,Consistent,Fast,Geography,Y,81
352,79,C,Declining,Fast,History,N,63
353,79,C,Improving,Average,History,N,81
354,39,A,Consistent,Fast,Geography,Y,38
355,70,C,Improving,Fast,English,N,59
356,55,B,Declining,Slow,Science,N,59
357,46,B,Consistent,Fast,English,Y,39
358,50,B,Consistent,Average,Geography,N,44
359,67,C,Improving,Fast,English,N,80
360,59,B,Declining,Average,English,Y,50
361,56,B,Declining,Slow,Science,N,64
362,93,D,Consistent,Slow,Geography,Y,105
363,58,B,Declining,Average,Science,N,66
364,48,B,Declining,Average,Math,Y,51
365,98,D,Declining,Average,Geography,N,98
366,79,C,Consistent,Average,History,Y,82
367,31,A,Declining,Slow,English,N,37
368,74,C,Consistent,Slow,English,Y,88
369,54,B,Declining,Average,English,Y,64
370,60,C,Improving,Fast,History,N,71
371,39,A,Declining,Fast,English,Y,35
372,53,B,Consistent,Average,Science,N,55
373,37,A,Improving,Fast,Geography,N,43
374,41,B,Improving,Fast,Science,Y,40
375,66,C,Consistent,Slow,Science,N,70
376,30,A,Declining,Slow,Science,N,29
377,52,B,Consistent,Average,English,N,54
378,53,B,Declining,Average,Science,N,51
379,41,B,Consistent,Slow,Geography,Y,38
380,42,B,Consistent,Average,Science,N,50
381,87,D,Consistent,Fast,History,Y,88
382,76,C,Declining,Slow,Math,N,75
383,70,C,Declining,Fast,History,N,66
384,88,D,Consistent,Fast,History,N,102
385,66,C,Consistent,Slow,Math,Y,71
386,39,A,Consistent,Slow,Science,N,43
387,34,A,Declining,Slow,Geography,Y,32
388,30,A,Declining,Slow,Math,Y,30
389,82,D,Improving,Slow,History,N,92
390,46,B,Consistent,Fast,Math,Y,37
391,97,D,Consistent,Slow,Geography,Y,98
392,94,D,Consistent,Fast,English,N,104
393,58,B,Consistent,Average,Math,N,69
394,42,B,Consistent,Fast,History,Y,45
395,97,D,Declining,Fast,History,Y,109
396,90,D,Improving,Fast,Geography,Y,83
397,57,B,Improving,Slow,History,Y,48
398,96,D,Consistent,Average,Geography,Y,106
399,48,B,Declining,Slow,Geography,N,56
400,45,B,Consistent,Slow,History,N,43
401,37,A,Improving,Average,History,Y,37
402,35,A,Consistent,Fast,English,N,40
403,79,C,Declining,Fast,Geography,Y,87
404,34,A,Improving,Fast,History,N,33
405,47,B,Improving,Average,Geography,N,45
406,94,D,Improving,Average,Math,Y,77
407,84,D,Declining,Fast,Geography,Y,69
408,92,D,Declining,Slow,Science,N,95
409,48,B,Consistent,Fast,Math,N,51
410,50,B,Declining,Average,Geography,N,47
411,66,C,Declining,Slow,Science,Y,70
412,52,B,Declining,Fast,Geography,Y,61
413,70,C,Declining,Average,Geography,N,82
414,38,A,Declining,Average,Geography,N,40
415,58,B,Declining,Slow,Geography,Y,48
416,98,D,Consistent,Slow,Science,N,91
417,31,A,Declining,Fast,English,Y,35
418,84,D,Consistent,Slow,Math,N,91
419,48,B,Consistent,Average,History,Y,56
420,98,D,Consistent,Fast,English,Y,80
421,95,D,Consistent,Slow,English,Y,90
422,59,B,Declining,Slow,English,N,59
423,87,D,Declining,Average,Math,N,98
424,96,D,Improving,Slow,English,N,80
425,73,C,Declining,Slow,History,N,62
426,72,C,Declining,Slow,Science,Y,81
427,76,C,Declining,Slow,Math,N,65
428,74,C,Improving,Slow,History,Y,78
429,67,C,Improving,Slow,History,Y,64
430,90,D,Consistent,Fast,English,Y,101
431,76,C,Improving,Slow,Math,N,86
432,83,D,Declining,Average,Geography,Y,72
433,53,B,Consistent,Fast,History,Y,62
434,96,D,Consistent,Average,Science,N,107
435,77,C,Improving,Fast,Science,Y,69
436,93,D,Improving,Average,English,N,98
437,53,B,Improving,Slow,Math,Y,61
438,57,B,Improving,Average,Science,Y,58
439,38,A,Improving,Slow,Geography,Y,36
440,38,A,Improving,Slow,Geography,N,39
441,43,B,Improving,Slow,English,Y,42
442,72,C,Declining,Average,English,N,80
443,53,B,Declining,Average,Science,Y,63
444,35,A,Improving,Fast,Math,Y,41
445,35,A,Declining,Average,Science,N,33
446,44,B,Improving,Average,Science,N,36
447,85,D,Improving,Slow,Science,Y,80
448,74,C,Declining,Slow,History,N,76
449,67,C,Declining,Fast,Math,N,70
450,35,A,Consistent,Slow,Geography,Y,34
451,60,C,Declining,Slow,History,Y,56
452,49,B,Declining,Fast,English,N,48
453,45,B,Consistent,Average,English,N,40
454,85,D,Consistent,Slow,English,N,77
455,62,C,Improving,Average,Geography,Y,70
456,50,B,Declining,Average,English,N,40
457,30,A,Consistent,Fast,Science,Y,32
458,72,C,Improving,Average,Math,N,77
459,62,C,Improving,Average,History,Y,74
460,63,C,Consistent,Slow,Geography,N,58
461,62,C,Consistent,Slow,English,N,59
462,88,D,Improving,Fast,History,N,86
463,83,D,Improving,Fast,History,N,94
464,65,C,Declining,Average,Geography,N,58
465,36,A,Declining,Fast,Geography,Y,35
466,81,D,Consistent,Slow,Science,N,84
467,38,A,Consistent,Fast,English,N,36
468,33,A,Improving,Slow,Math,Y,34
469,35,A,Improving,Fast,History,N,37
470,67,C,Improving,Fast,History,Y,66
471,64,C,Declining,Average,Math,Y,71
472,90,D,Declining,Average,Science,N,100
473,44,B,Declining,Fast,Science,Y,45
474,60,C,Improving,Fast,History,Y,57
475,52,B,Improving,Slow,Science,Y,55
476,44,B,Improving,Average,Science,N,46
477,76,C,Improving,Average,Geography,Y,90
478,58,B,Declining,Slow,English,N,64
479,64,C,Consistent,Average,Geography,Y,52
480,76,C,Consistent,Average,Science,Y,90
481,47,B,Declining,Fast,Geography,Y,44
482,41,B,Declining,Fast,Math,Y,33
483,86,D,Declining,Average,English,Y,91
484,44,B,Improving,Average,English,Y,43
485,41,B,Improving,Slow,Geography,N,41
486,57,B,Improving,Average,English,Y,54
487,35,A,Consistent,Fast,Geography,N,34
488,72,C,Improving,Fast,Science,Y,66
489,81,D,Declining,Fast,History,Y,94
490,31,A,Improving,Fast,Science,Y,33
491,75,C,Consistent,Slow,Math,Y,74
492,84,D,Improving,Slow,History,Y,90
493,33,A,Consistent,Fast,Math,Y,29
494,41,B,Improving,Average,Geography,Y,46
495,64,C,Declining,Fast,Geography,N,71
496,66,C,Declining,Average,Math,N,66
497,88,D,Improving,Average,Science,Y,97
498,42,B,Consistent,Fast,Math,Y,37
