S.No,Study Hours,Study Frequency,Study Subjects,Study Type,Revision Frequency,Difficulty Level,Track of Hours
1,5,Weekly,Math,Online courses,Never,Easy,18
2,1,Bi-weekly,Geography,Self-study,Weekly,Easy,45
3,8,Bi-weekly,History,Self-study,Daily,Easy,15
4,8,Daily,Math,Tutoring,Daily,Medium,5
5,1,Monthly,English,Group study,Daily,Hard,45
6,2,Bi-weekly,History,Tutoring,Never,Medium,11
7,3,Bi-weekly,English,Online courses,Weekly,Medium,26
8,5,Bi-weekly,History,Tutoring,Daily,Medium,48
9,5,Bi-weekly,English,Self-study,Daily,Hard,37
10,6,Weekly,English,Group study,Daily,Easy,47
11,2,Bi-weekly,English,Online courses,Daily,Medium,26
12,3,Bi-weekly,Science,Tutoring,Daily,Medium,43
13,7,Bi-weekly,Geography,Self-study,Daily,Medium,28
14,4,Daily,Math,Self-study,Daily,Hard,21
15,3,Daily,Geography,Online courses,Never,Hard,13
16,3,Monthly,Math,Online courses,Daily,Medium,7
17,8,Bi-weekly,Math,Online courses,Weekly,Medium,42
18,4,Daily,English,Tutoring,Daily,Easy,15
19,2,Weekly,Math,Group study,Never,Medium,45
20,5,Daily,Geography,Group study,Weekly,Hard,7
21,5,Daily,English,Tutoring,Daily,Medium,44
22,6,Daily,English,Online courses,Never,Easy,31
23,7,Daily,English,Tutoring,Weekly,Medium,44
24,4,Bi-weekly,Math,Group study,Daily,Easy,10
25,7,Weekly,Science,Online courses,Never,Hard,41
26,4,Bi-weekly,Geography,Tutoring,Weekly,Medium,46
27,4,Monthly,Geography,Group study,Daily,Easy,29
28,7,Weekly,Math,Online courses,Weekly,Medium,33
29,2,Bi-weekly,English,Online courses,Weekly,Hard,21
30,7,Weekly,Science,Tutoring,Daily,Easy,11
31,5,Monthly,History,Tutoring,Daily,Easy,22
32,8,Monthly,Geography,Group study,Weekly,Easy,38
33,4,Weekly,Science,Online courses,Daily,Medium,49
34,7,Weekly,Math,Online courses,Never,Medium,17
35,3,Daily,English,Self-study,Weekly,Hard,17
36,5,Daily,Science,Self-study,Weekly,Hard,38
37,2,Weekly,Math,Group study,Weekly,Easy,40
38,2,Weekly,Science,Self-study,Never,Hard,35
39,2,Bi-weekly,Geography,Self-study,Never,Medium,32
40,3,Daily,English,Self-study,Weekly,Medium,33
41,4,Monthly,History,Group study,Daily,Medium,11
42,4,Weekly,History,Group study,Weekly,Easy,45
43,1,Daily,Geography,Group study,Never,Medium,23
44,6,Monthly,Science,Self-study,Weekly,Medium,50
45,8,Monthly,Math,Online courses,Daily,Hard,6
46,3,Monthly,Geography,Self-study,Weekly,Easy,37
47,4,Monthly,English,Online courses,Weekly,Easy,29
48,8,Weekly,Geography,Online courses,Never,Hard,28
49,3,Weekly,History,Online courses,Never,Medium,37
50,6,Daily,Science,Online courses,Daily,Easy,49
51,1,Weekly,English,Self-study,Never,Easy,47
52,7,Monthly,English,Tutoring,Never,Easy,8
53,2,Bi-weekly,History,Online courses,Daily,Hard,12
54,4,Monthly,English,Online courses,Daily,Easy,36
55,1,Bi-weekly,Science,Online courses,Weekly,Easy,46
56,2,Monthly,English,Group study,Weekly,Easy,39
57,4,Daily,English,Group study,Weekly,Medium,5
58,6,Monthly,Science,Self-study,Weekly,Easy,22
59,4,Bi-weekly,History,Self-study,Daily,Hard,27
60,7,Daily,Math,Tutoring,Daily,Medium,21
61,3,Daily,History,Group study,Never,Easy,27
62,3,Monthly,Science,Self-study,Daily,Easy,47
63,5,Bi-weekly,Science,Group study,Daily,Medium,39
64,7,Bi-weekly,History,Group study,Weekly,Easy,43
65,1,Bi-weekly,History,Tutoring,Weekly,Medium,35
66,2,Bi-weekly,Geography,Self-study,Daily,Easy,41
67,1,Bi-weekly,English,Online courses,Weekly,Hard,47
68,1,Daily,History,Online courses,Daily,Hard,8
69,7,Monthly,Science,Self-study,Daily,Easy,50
70,3,Monthly,Math,Online courses,Daily,Hard,44
71,7,Bi-weekly,English,Online courses,Never,Easy,37
72,2,Weekly,Geography,Online courses,Weekly,Hard,42
73,8,Daily,Science,Tutoring,Weekly,Easy,48
74,3,Bi-weekly,English,Tutoring,Weekly,Medium,37
75,1,Weekly,History,Online courses,Daily,Easy,37
76,1,Weekly,Math,Online courses,Daily,Easy,9
77,5,Daily,Geography,Self-study,Weekly,Easy,48
78,5,Monthly,Math,Self-study,Daily,Easy,42
79,2,Weekly,History,Self-study,Weekly,Easy,27
80,8,Weekly,Science,Tutoring,Never,Medium,43
81,1,Daily,English,Self-study,Daily,Hard,8
82,7,Daily,English,Self-study,Daily,Medium,10
83,8,Daily,History,Tutoring,Daily,Easy,49
84,3,Weekly,Math,Group study,Weekly,Medium,35
85,1,Weekly,History,Group study,Never,Easy,8
86,1,Weekly,English,Self-study,Daily,Hard,38
87,5,Bi-weekly,Science,Group study,Daily,Medium,36
88,8,Bi-weekly,Science,Tutoring,Daily,Easy,41
89,5,Monthly,English,Online courses,Never,Hard,25
90,1,Daily,English,Tutoring,Weekly,Hard,19
91,2,Monthly,English,Tutoring,Weekly,Hard,15
92,2,Monthly,Geography,Online courses,Never,Medium,12
93,3,Bi-weekly,Science,Group study,Weekly,Easy,28
94,2,Weekly,Geography,Tutoring,Weekly,Hard,9
95,2,Bi-weekly,History,Self-study,Daily,Medium,11
96,4,Weekly,Math,Self-study,Daily,Easy,6
97,3,Monthly,English,Online courses,Daily,Medium,6
98,7,Daily,Geography,Self-study,Daily,Easy,29
99,7,Monthly,Math,Tutoring,Never,Easy,32
100,1,Weekly,Geography,Group study,Daily,Hard,28
101,8,Weekly,History,Tutoring,Weekly,Hard,43
102,7,Daily,Science,Group study,Never,Hard,12
103,2,Bi-weekly,Geography,Tutoring,Weekly,Medium,17
104,7,Bi-weekly,Math,Tutoring,Never,Hard,23
105,3,Bi-weekly,History,Online courses,Weekly,Medium,22
106,4,Monthly,Science,Tutoring,Weekly,Hard,23
107,6,Bi-weekly,Science,Tutoring,Daily,Hard,50
108,1,Monthly,Math,Group study,Weekly,Easy,48
109,3,Daily,Science,Tutoring,Never,Hard,15
110,1,Daily,Science,Group study,Daily,Medium,42
111,6,Bi-weekly,Geography,Tutoring,Daily,Easy,36
112,3,Monthly,Geography,Group study,Never,Hard,42
113,2,Monthly,History,Tutoring,Daily,Medium,18
114,7,Daily,English,Self-study,Weekly,Hard,36
115,7,Bi-weekly,English,Self-study,Daily,Medium,5
116,7,Daily,English,Tutoring,Daily,Easy,11
117,2,Monthly,Math,Tutoring,Weekly,Medium,8
118,2,Bi-weekly,History,Tutoring,Never,Easy,29
119,4,Bi-weekly,Geography,Online courses,Daily,Hard,5
120,6,Daily,Science,Tutoring,Weekly,Medium,17
121,6,Daily,Science,Online courses,Daily,Medium,17
122,1,Daily,English,Self-study,Never,Easy,22
123,4,Daily,English,Group study,Never,Medium,45
124,1,Daily,Geography,Group study,Daily,Hard,22
125,2,Daily,English,Tutoring,Weekly,Hard,16
126,4,Bi-weekly,English,Online courses,Daily,Easy,28
127,5,Daily,Geography,Online courses,Weekly,Easy,36
128,3,Monthly,Geography,Self-study,Daily,Easy,40
129,8,Weekly,Geography,Tutoring,Weekly,Hard,44
130,2,Weekly,Science,Self-study,Never,Easy,43
131,3,Weekly,Science,Tutoring,Daily,Easy,40
132,8,Weekly,English,Self-study,Weekly,Easy,27
133,8,Weekly,English,Online courses,Daily,Easy,43
134,6,Weekly,Science,Self-study,Daily,Hard,15
135,4,Daily,Science,Group study,Daily,Medium,40
136,6,Weekly,English,Group study,Weekly,Medium,29
137,6,Bi-weekly,Science,Self-study,Weekly,Medium,23
138,4,Bi-weekly,Science,Tutoring,Weekly,Easy,43
139,2,Weekly,Science,Group study,Weekly,Medium,35
140,2,Daily,Science,Group study,Daily,Easy,16
141,8,Monthly,Math,Group study,Daily,Hard,44
142,1,Bi-weekly,Science,Tutoring,Daily,Easy,48
143,2,Monthly,Geography,Group study,Daily,Medium,40
144,7,Monthly,English,Tutoring,Daily,Easy,27
145,7,Bi-weekly,Geography,Group study,Daily,Hard,14
146,1,Weekly,English,Self-study,Never,Hard,42
147,2,Daily,English,Group study,Never,Easy,38
148,5,Weekly,Geography,Self-study,Daily,Medium,27
149,2,Weekly,Geography,Tutoring,Weekly,Medium,43
150,1,Monthly,English,Group study,Weekly,Hard,30
151,6,Daily,Math,Self-study,Daily,Medium,15
152,5,Monthly,Science,Group study,Daily,Easy,44
153,6,Weekly,Geography,Group study,Never,Easy,9
154,1,Daily,Science,Self-study,Never,Hard,50
155,4,Bi-weekly,Science,Tutoring,Weekly,Easy,10
156,8,Bi-weekly,Math,Online courses,Weekly,Easy,48
157,1,Daily,Geography,Group study,Daily,Medium,45
158,6,Weekly,Math,Group study,Never,Hard,5
159,4,Monthly,Science,Online courses,Never,Medium,48
160,8,Daily,English,Online courses,Weekly,Medium,29
161,8,Weekly,Science,Self-study,Daily,Easy,30
162,7,Daily,Geography,Tutoring,Weekly,Hard,16
163,7,Weekly,Science,Self-study,Never,Easy,38
164,7,Bi-weekly,English,Tutoring,Daily,Medium,25
165,6,Daily,Math,Self-study,Never,Hard,27
166,5,Bi-weekly,Science,Self-study,Weekly,Hard,19
167,3,Weekly,History,Online courses,Never,Hard,43
168,2,Weekly,Geography,Self-study,Daily,Hard,43
169,1,Daily,History,Online courses,Never,Medium,44
170,8,Bi-weekly,English,Self-study,Daily,Medium,8
171,7,Bi-weekly,History,Online courses,Daily,Hard,8
172,8,Weekly,Geography,Group study,Weekly,Hard,50
173,3,Weekly,History,Online courses,Weekly,Medium,25
174,5,Monthly,Science,Self-study,Never,Medium,30
175,7,Daily,English,Tutoring,Weekly,Easy,31
176,2,Monthly,Science,Self-study,Never,Easy,33
177,3,Bi-weekly,Science,Group study,Daily,Medium,23
178,4,Monthly,History,Online courses,Daily,Hard,49
179,2,Bi-weekly,Science,Self-study,Never,Medium,14
180,7,Monthly,History,Group study,Weekly,Medium,47
181,5,Bi-weekly,History,Tutoring,Weekly,Easy,22
182,2,Bi-weekly,Science,Group study,Never,Hard,13
183,6,Bi-weekly,Geography,Group study,Daily,Medium,43
184,3,Weekly,History,Self-study,Weekly,Easy,41
185,4,Bi-weekly,Geography,Online courses,Daily,Easy,38
186,6,Monthly,Geography,Self-study,Weekly,Easy,14
187,5,Monthly,English,Online courses,Daily,Medium,47
188,1,Bi-weekly,History,Tutoring,Daily,Hard,27
189,4,Weekly,Science,Self-study,Never,Easy,10
190,5,Bi-weekly,Geography,Tutoring,Daily,Easy,34
191,8,Daily,Science,Online courses,Weekly,Easy,32
192,3,Bi-weekly,Math,Tutoring,Daily,Hard,10
193,1,Weekly,Math,Group study,Weekly,Easy,26
194,4,Monthly,English,Tutoring,Daily,Hard,30
195,4,Bi-weekly,English,Group study,Daily,Medium,44
196,3,Bi-weekly,History,Online courses,Daily,Medium,46
197,2,Weekly,English,Self-study,Daily,Hard,6
198,6,Daily,History,Online courses,Weekly,Easy,42
199,3,Weekly,Math,Online courses,Never,Medium,23
200,5,Daily,Science,Tutoring,Never,Easy,30
201,7,Weekly,History,Tutoring,Weekly,Easy,23
202,7,Bi-weekly,English,Tutoring,Weekly,Hard,42
203,4,Weekly,Math,Self-study,Never,Hard,40
204,1,Weekly,Math,Online courses,Weekly,Hard,38
205,5,Weekly,Geography,Group study,Weekly,Medium,26
206,7,Daily,Geography,Group study,Never,Hard,9
207,2,Bi-weekly,Geography,Self-study,Weekly,Medium,24
208,5,Monthly,Science,Self-study,Never,Medium,19
209,4,Daily,History,Self-study,Daily,Medium,16
210,1,Bi-weekly,English,Online courses,Never,Medium,40
211,8,Daily,Geography,Online courses,Daily,Easy,27
212,3,Daily,English,Self-study,Weekly,Hard,19
213,2,Monthly,Math,Online courses,Never,Hard,24
214,1,Weekly,History,Group study,Weekly,Hard,22
215,2,Weekly,Geography,Group study,Never,Medium,23
216,2,Weekly,Geography,Online courses,Never,Easy,30
217,1,Weekly,Math,Group study,Daily,Hard,43
218,3,Bi-weekly,English,Tutoring,Weekly,Easy,13
219,6,Bi-weekly,Science,Group study,Weekly,Hard,31
220,1,Daily,Science,Self-study,Daily,Easy,24
221,4,Bi-weekly,Science,Group study,Never,Hard,11
222,1,Weekly,Math,Tutoring,Daily,Easy,35
223,1,Weekly,Science,Tutoring,Daily,Easy,48
224,2,Daily,Science,Tutoring,Never,Medium,30
225,7,Daily,History,Online courses,Weekly,Hard,29
226,7,Weekly,History,Tutoring,Daily,Easy,17
227,8,Monthly,Science,Online courses,Daily,Hard,6
228,2,Weekly,English,Tutoring,Daily,Easy,25
229,1,Bi-weekly,English,Tutoring,Weekly,Medium,17
230,4,Bi-weekly,History,Group study,Daily,Easy,25
231,6,Monthly,Geography,Self-study,Weekly,Easy,5
232,3,Weekly,History,Tutoring,Never,Easy,26
233,2,Monthly,Geography,Tutoring,Weekly,Hard,44
234,3,Daily,English,Group study,Weekly,Easy,50
235,4,Monthly,History,Group study,Never,Hard,33
236,2,Daily,History,Tutoring,Weekly,Hard,25
237,8,Bi-weekly,English,Group study,Daily,Easy,32
238,5,Weekly,Geography,Tutoring,Never,Medium,29
239,7,Weekly,English,Tutoring,Never,Medium,20
240,2,Daily,English,Tutoring,Daily,Hard,31
241,4,Monthly,Math,Self-study,Daily,Hard,44
242,8,Monthly,English,Tutoring,Never,Easy,21
243,7,Monthly,English,Online courses,Daily,Easy,13
244,3,Daily,Science,Self-study,Weekly,Easy,13
245,7,Weekly,English,Self-study,Weekly,Medium,13
246,5,Bi-weekly,History,Tutoring,Weekly,Hard,22
247,8,Daily,Science,Online courses,Daily,Hard,29
248,2,Bi-weekly,Science,Tutoring,Weekly,Hard,5
249,5,Weekly,Geography,Online courses,Never,Medium,46
250,5,Monthly,Math,Online courses,Weekly,Medium,12
251,1,Weekly,Math,Tutoring,Never,Hard,34
252,6,Daily,History,Tutoring,Daily,Easy,27
253,1,Monthly,Math,Online courses,Daily,Medium,46
254,5,Weekly,History,Group study,Weekly,Medium,14
255,7,Daily,Geography,Online courses,Never,Easy,25
256,5,Bi-weekly,History,Group study,Weekly,Hard,13
257,2,Monthly,History,Group study,Never,Medium,5
258,5,Daily,Science,Online courses,Daily,Easy,10
259,4,Bi-weekly,Science,Online courses,Never,Easy,12
260,3,Bi-weekly,English,Online courses,Daily,Easy,9
261,3,Daily,Science,Group study,Never,Hard,6
262,1,Monthly,History,Online courses,Daily,Easy,23
263,3,Weekly,History,Group study,Daily,Easy,44
264,6,Daily,Science,Online courses,Weekly,Hard,35
265,2,Monthly,Math,Tutoring,Daily,Medium,25
266,1,Bi-weekly,History,Tutoring,Daily,Easy,13
267,3,Weekly,Science,Tutoring,Never,Medium,32
268,8,Daily,History,Tutoring,Weekly,Medium,40
269,3,Monthly,History,Self-study,Daily,Hard,43
270,5,Monthly,Science,Group study,Daily,Medium,50
271,7,Bi-weekly,Science,Self-study,Daily,Easy,25
272,8,Monthly,History,Self-study,Daily,Easy,29
273,6,Daily,English,Tutoring,Never,Medium,15
274,7,Daily,Geography,Online courses,Weekly,Hard,47
275,7,Weekly,History,Online courses,Daily,Medium,31
276,6,Weekly,Science,Self-study,Weekly,Medium,40
277,2,Weekly,Geography,Online courses,Weekly,Hard,14
278,5,Weekly,Geography,Self-study,Never,Medium,15
279,5,Monthly,Science,Group study,Never,Medium,22
280,7,Daily,English,Online courses,Never,Hard,7
281,5,Weekly,Math,Tutoring,Weekly,Medium,27
282,8,Monthly,History,Online courses,Never,Hard,21
283,4,Weekly,History,Self-study,Weekly,Medium,20
284,2,Bi-weekly,Science,Group study,Never,Medium,30
285,3,Bi-weekly,English,Online courses,Never,Easy,35
286,1,Daily,Science,Self-study,Daily,Easy,24
287,3,Daily,Geography,Tutoring,Never,Hard,25
288,2,Weekly,Science,Self-study,Daily,Easy,20
289,3,Monthly,History,Online courses,Daily,Easy,8
290,5,Weekly,History,Online courses,Weekly,Medium,20
291,8,Bi-weekly,History,Tutoring,Weekly,Hard,35
292,7,Weekly,Science,Group study,Never,Hard,7
293,3,Daily,Geography,Tutoring,Never,Easy,24
294,8,Daily,Science,Group study,Weekly,Hard,45
295,5,Weekly,Science,Online courses,Never,Easy,40
296,8,Weekly,Geography,Tutoring,Daily,Medium,20
297,3,Daily,Math,Group study,Weekly,Medium,9
298,6,Weekly,Geography,Group study,Daily,Easy,26
299,6,Monthly,English,Group study,Daily,Easy,49
300,4,Bi-weekly,Geography,Group study,Weekly,Medium,23
301,5,Weekly,English,Online courses,Never,Hard,29
302,1,Daily,History,Group study,Never,Hard,23
303,4,Daily,Science,Self-study,Weekly,Hard,5
304,8,Weekly,English,Online courses,Daily,Hard,43
305,1,Bi-weekly,Math,Online courses,Daily,Medium,46
306,8,Daily,Math,Online courses,Daily,Easy,26
307,3,Monthly,History,Self-study,Daily,Medium,21
308,5,Bi-weekly,History,Group study,Weekly,Easy,45
309,1,Daily,English,Online courses,Weekly,Medium,10
310,6,Daily,Geography,Group study,Daily,Medium,19
311,5,Bi-weekly,English,Group study,Weekly,Medium,26
312,3,Weekly,Math,Online courses,Never,Medium,24
313,6,Monthly,History,Online courses,Daily,Medium,11
314,4,Weekly,Geography,Self-study,Never,Medium,12
315,6,Weekly,Science,Self-study,Daily,Medium,47
316,8,Daily,History,Self-study,Weekly,Medium,26
317,5,Daily,English,Self-study,Never,Easy,46
318,1,Weekly,Geography,Group study,Daily,Easy,15
319,8,Monthly,English,Self-study,Never,Easy,48
320,8,Weekly,Math,Online courses,Daily,Medium,24
321,2,Bi-weekly,Science,Online courses,Weekly,Hard,45
322,3,Bi-weekly,English,Group study,Weekly,Medium,32
323,6,Weekly,Math,Tutoring,Daily,Medium,12
324,7,Daily,Geography,Tutoring,Daily,Medium,21
325,6,Weekly,Math,Self-study,Daily,Easy,15
326,4,Daily,English,Tutoring,Weekly,Easy,6
327,8,Weekly,Science,Group study,Never,Easy,43
328,4,Monthly,Geography,Online courses,Daily,Hard,13
329,3,Monthly,Geography,Tutoring,Daily,Easy,31
330,4,Bi-weekly,Science,Group study,Never,Hard,48
331,8,Bi-weekly,Math,Group study,Weekly,Hard,36
332,1,Monthly,Geography,Online courses,Never,Medium,35
